Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,,away,0.5,s;-1;s;-0.5,155,2.55,spread,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,,away,,s;-1;m,230,3.3,moneyline,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,over,away,1.5,s;-1;tt;1.5;away,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,under,away,1.5,s;-1;tt;1.5;away,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,,home,-0.5,s;-1;s;-0.5,-175,1.57,spread,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,,home,,s;-1;m,-275,1.36,moneyline,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,over,home,2.5,s;-1;tt;2.5;home,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,under,home,2.5,s;-1;tt;2.5;home,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,over,,4.5,s;-1;ou;4.5,-115,1.87,total,2024-08-12,
1st 5 Innings,490457433,COL(away) vs ARI(home),MLB,under,,4.5,s;-1;ou;4.5,-105,1.95,total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,,away,1.5,s;0;s;-1.5,-125,1.8,spread,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,,away,,s;0;m,178,2.78,moneyline,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,over,away,3.5,s;0;tt;3.5;away,-105,1.95,team_total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,under,away,3.5,s;0;tt;3.5;away,-125,1.8,team_total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,,home,-1.5,s;0;s;-1.5,105,2.05,spread,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,,home,,s;0;m,-195,1.51,moneyline,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,over,home,4.5,s;0;tt;4.5;home,-120,1.83,team_total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,under,home,4.5,s;0;tt;4.5;home,-110,1.91,team_total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,over,,8.0,s;0;ou;8,-120,1.83,total,2024-08-12,
Game,490457429,PIT(away) vs SD(home),MLB,under,,8.0,s;0;ou;8,100,2.0,total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,,away,0.5,s;-1;s;-0.5,115,2.15,spread,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,,away,,s;-1;m,165,2.65,moneyline,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,over,away,1.5,s;-1;tt;1.5;away,-115,1.87,team_total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,under,away,1.5,s;-1;tt;1.5;away,-115,1.87,team_total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,,home,-0.5,s;-1;s;-0.5,-135,1.74,spread,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,,home,,s;-1;m,-190,1.53,moneyline,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,over,home,2.5,s;-1;tt;2.5;home,-130,1.77,team_total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,under,home,2.5,s;-1;tt;2.5;home,100,2.0,team_total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,over,,4.5,s;-1;ou;4.5,-110,1.91,total,2024-08-12,
1st 5 Innings,490457429,PIT(away) vs SD(home),MLB,under,,4.5,s;-1;ou;4.5,-110,1.91,total,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,,away,1.5,s;0;s;-1.5,-220,1.45,spread,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,,away,,s;0;m,101,2.01,moneyline,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,over,away,3.5,s;0;tt;3.5;away,118,2.18,team_total,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,under,away,3.5,s;0;tt;3.5;away,-148,1.68,team_total,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,,home,-1.5,s;0;s;-1.5,190,2.9,spread,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,,home,,s;0;m,-111,1.9,moneyline,2024-08-12,
Game,490457431,ATL(away) vs SF(home),MLB,over,home,2.5,s;0;tt;2.5;home,-157,1.64,team_total,2024-08-12,
